	filename	cellType	treatment	antibody	description
0	wgEncodeAwgTfbsBroadDnd41CtcfUniPk.narrowPeak	Dnd41	None	CTCF	ChIP Dnd41 CTCF
1	wgEncodeAwgTfbsBroadDnd41Ezh239875UniPk.narrowPeak	Dnd41	None	EZH2_(39875)	ChIP Dnd41 EZH2_(39875)
2	wgEncodeAwgTfbsBroadGm12878CtcfUniPk.narrowPeak	GM12878	None	CTCF	ChIP GM12878 CTCF
3	wgEncodeAwgTfbsBroadGm12878Ezh239875UniPk.narrowPeak	GM12878	None	EZH2_(39875)	ChIP GM12878 EZH2_(39875)
4	wgEncodeAwgTfbsBroadH1hescChd1a301218aUniPk.narrowPeak	H1-hESC	None	CHD1_(A301-218A)	ChIP H1-hESC CHD1_(A301-218A)
5	wgEncodeAwgTfbsBroadH1hescCtcfUniPk.narrowPeak	H1-hESC	None	CTCF	ChIP H1-hESC CTCF
6	wgEncodeAwgTfbsBroadH1hescEzh239875UniPk.narrowPeak	H1-hESC	None	EZH2_(39875)	ChIP H1-hESC EZH2_(39875)
7	wgEncodeAwgTfbsBroadH1hescJarid1aab26049UniPk.narrowPeak	H1-hESC	None	JARID1A_(ab26049)	ChIP H1-hESC JARID1A_(ab26049)
8	wgEncodeAwgTfbsBroadH1hescRbbp5a300109aUniPk.narrowPeak	H1-hESC	None	RBBP5_(A300-109A)	ChIP H1-hESC RBBP5_(A300-109A)
9	wgEncodeAwgTfbsBroadHelas3CtcfUniPk.narrowPeak	HeLa-S3	None	CTCF	ChIP HeLa-S3 CTCF
10	wgEncodeAwgTfbsBroadHelas3Ezh239875UniPk.narrowPeak	HeLa-S3	None	EZH2_(39875)	ChIP HeLa-S3 EZH2_(39875)
11	wgEncodeAwgTfbsBroadHelas3Pol2bUniPk.narrowPeak	HeLa-S3	None	Pol2(b)	ChIP HeLa-S3 Pol2(b)
12	wgEncodeAwgTfbsBroadHepg2CtcfUniPk.narrowPeak	HepG2	None	CTCF	ChIP HepG2 CTCF
13	wgEncodeAwgTfbsBroadHepg2Ezh239875UniPk.narrowPeak	HepG2	None	EZH2_(39875)	ChIP HepG2 EZH2_(39875)
14	wgEncodeAwgTfbsBroadHmecCtcfUniPk.narrowPeak	HMEC	None	CTCF	ChIP HMEC CTCF
15	wgEncodeAwgTfbsBroadHmecEzh239875UniPk.narrowPeak	HMEC	None	EZH2_(39875)	ChIP HMEC EZH2_(39875)
16	wgEncodeAwgTfbsBroadHsmmCtcfUniPk.narrowPeak	HSMM	None	CTCF	ChIP HSMM CTCF
17	wgEncodeAwgTfbsBroadHsmmEzh239875UniPk.narrowPeak	HSMM	None	EZH2_(39875)	ChIP HSMM EZH2_(39875)
18	wgEncodeAwgTfbsBroadHsmmtCtcfUniPk.narrowPeak	HSMMtube	None	CTCF	ChIP HSMMtube CTCF
19	wgEncodeAwgTfbsBroadHsmmtEzh239875UniPk.narrowPeak	HSMMtube	None	EZH2_(39875)	ChIP HSMMtube EZH2_(39875)
20	wgEncodeAwgTfbsBroadHuvecCtcfUniPk.narrowPeak	HUVEC	None	CTCF	ChIP HUVEC CTCF
21	wgEncodeAwgTfbsBroadHuvecEzh239875UniPk.narrowPeak	HUVEC	None	EZH2_(39875)	ChIP HUVEC EZH2_(39875)
22	wgEncodeAwgTfbsBroadHuvecPol2bUniPk.narrowPeak	HUVEC	None	Pol2(b)	ChIP HUVEC Pol2(b)
23	wgEncodeAwgTfbsBroadK562Chd1a301218aUniPk.narrowPeak	K562	None	CHD1_(A301-218A)	ChIP K562 CHD1_(A301-218A)
